ProposedIndex,IIHH,Shannon,Size,AssetTurnover,Debt,QuickRatio,CashHoldings,ROE,ROI,ROA
0.3584,1.8683,0.7879,17.2932,0.25,0.36,6.6492,0.3475,0.1589,0.2272,0.0954
0.4078,1.7903,0.7369,17.2868,0.25,0.14,4.1753,0.3582,0.137,0.2274,0.1102
1.3612,4.2744,1.5272,14.9054,1.79,0.69,0.092,0.0424,0.1723,0.1075,0.0542
1.287,3.3829,1.3938,15.3284,1.58,0.98,0.2183,0.0852,0.0037,0.0822,0.0012
1.4416,4.2517,1.5695,15.4175,1.71,0.75,0.1424,0.0583,-0.0157,0.0492,-0.0053
0.5421,2.528,1.0076,16.8348,0.22,1.83,0.2004,0.1039,-0.1385,0.0457,-0.0423
0.6987,2.9458,1.1249,16.584,0.01,1.54,0.5235,0.1139,0.1818,0.0464,0.0518
0.5525,2.8141,1.1529,16.6809,0.17,4.29,0.48,0.0925,-0.4682,0.0779,-0.0809
0.4087,2.7783,1.1903,16.0796,0.47,0.27,0.0119,0.0041,-0.0745,-0.3957,-0.0361
0.3419,1.8628,0.6558,15.0247,0.44,0.88,0.4199,0.2051,-0.9376,-0.3387,-0.2219
0.3018,1.2303,0.3349,14.6968,0.49,0.75,0.14,0.039,-0.2665,-0.0557,-0.0906
,1,,18.4163,1.33,1.09,0.1166,0.1166,0.0834,0.1013,0.042
0.3942,1.0447,0.127,18.4914,1.26,1.09,0.1199,0.0331,0.0809,0.0858,0.0455
0.4185,1.0464,0.13,18.7441,1.18,1.28,0.0368,0.0099,0.0768,0.0855,0.0328
0.4553,1.234,0.4022,13.9944,0.57,0.06,1.9036,0.2873,0.1112,0.0676,0.0891
0.4407,1.2796,0.3764,14.3264,0.76,0.28,0.4064,0.0858,0.0572,0.0797,0.0362
0.4628,1.4079,0.4649,14.5032,0.79,0.38,0.2517,0.0779,0.0319,0.0476,0.0166
0.2162,1.2936,0.3874,14.2443,0.05,0.88,3.8526,0.1028,-0.1071,0.0348,-0.0993
0.2411,2.129,0.908,15.1197,0.14,1.3,0.9039,0.0394,0.0376,0.0662,0.03
0.3219,2.6371,1.0282,15.705,0.15,0.79,0.6075,0.0627,-0.0297,-0.0157,-0.0152
1.5513,4.4401,1.6792,19.1491,0.41,0.99,0.6027,0.1415,0.1166,0.1005,0.0449
1.0894,2.73,1.1331,19.0656,0.34,1.17,0.778,0.1465,0.0635,0.0554,0.0246
1.2153,3.3902,1.2815,19.5788,0.33,1.45,0.7709,0.1473,0.0455,0.0459,0.0146
0.6648,1.9793,0.8317,16.6954,0.25,6.89,0.8336,0.081,0.1209,0.0239,0.0141
0.4434,1.2821,0.4913,16.5539,0.22,16.11,0.3687,0.0575,-1.2209,0.0372,-0.0404
0.4975,1.5576,0.7348,15.2953,0.19,13.27,0.5503,0.0728,-0.8094,-0.0064,-0.0575
0.4518,1.8422,0.6497,14.4305,1.19,0.1,0.0375,0.0778,0.1367,0.2897,0.1049
0.5928,1.9482,0.6798,15.145,0.79,0.5,0.014,0.0028,0.0521,0.0524,0.0299
0.4583,1.9563,0.6819,15.1749,0.82,0.48,0.3191,0.0778,0.0172,0.0448,0.0088
0.7239,1.8739,0.6916,17.704,0.6,2.44,0.0911,0.0659,0.1203,0.0356,0.0101
0.6927,1.7272,0.6331,17.5548,0.64,2.63,0.4297,0.0705,-0.0078,0.0934,-0.0016
0.6521,1.5679,0.5802,17.3418,0.48,0.77,0.4436,0.0701,0.1536,0.0978,0.0782
0.3954,1.0985,0.1952,19.5079,1.74,0.18,0.378,0.1148,0.2029,0.2144,0.1224
0.4014,1.0675,0.1521,19.5901,1.77,0.15,0.3714,0.1128,0.2035,0.2098,0.1246
0.3327,1.0174,0.0541,19.5722,2.04,0.21,0.1511,0.0667,0.2292,0.2091,0.12
